ID,Reference,Data source,Longitude,Latitude,Elevation,MAT,MAP,PET,Climate,Ecosystem type,Methods,Site,MurA,GlcN,SOC,TN,TP,C/N,MBC,MBN,MBC/N,pH,Sand,Silt,Clay
19,2,A1,-103.36,33.30,1244,17.10,466.00,2349,B,Grassland,GC,"Amarillo, North American",12.00,160.00,4.26,0.47,0.5,9.06,200.65 ,77.49 ,2.59 ,7.20,86.70,2.00,11.30
20,2,A1,-98.47,32.82,337,20.00,1030.00,1999,C,Grassland,GC,"Halettsville, North American",28.00,423.00,12.90,0.99,0.4,13.03,189.65 ,59.44 ,3.19 ,7.30,59.30,13.40,27.30
21,2,A1,-94.59,31.72,133,20.30,1308.00,1564,C,Grassland,GC,"Morey, North American",31.00,676.00,11.50,1.04,0.4,11.06,132.05 ,43.31 ,3.05 ,5.30,59.90,17.90,22.20
22,2,A1,-97.05,30.19,167,22.20,700.00,1738,C,Grassland,GC,"Racombes, North American",9.00,244.00,11.20,0.89,0.4,12.58,173.64 ,42.38 ,4.10 ,7.40,63.70,8.40,27.90
23,3,A1,-105.78,52.87,474,0.90,456.00,903,D,Grassland,GC,"Hoey, SK",256.08,2659.74,58.20,5.29,0.4,11.00,144.39 ,112.17 ,1.29 ,7.40,48.70,22.30,29.10
24,3,A1,-106.28,52.32,514,1.60,343.00,946,D,Grassland,GC,"Aberdeen, SK",207.27,2339.19,42.30,4.23,0.5,10.00,215.30 ,86.85 ,2.48 ,7.20,64.90,18.90,16.20
25,3,A1,-107.78,50.28,738,3.20,380.00,1119,D,Grassland,GC,"Swift Current, SK",228.42,2356.11,42.30,3.89,0.5,10.87,233.22 ,81.73 ,2.85 ,5.60,51.50,26.40,22.20
26,3,A1,-95.92,45.58,344,6.10,565.00,1091,D,Grassland,GC,"Morris, MN",294.40,3910.40,64.00,5.34,0.6,11.99,180.61 ,80.15 ,2.25 ,5.90,35.40,30.20,34.40
27,3,A1,-100.88,46.82,509,5.00,419.00,1235,D,Grassland,GC,"Mandan, ND",224.36,1861.24,31.60,3.31,0.5,9.55,146.71 ,92.82 ,1.58 ,5.90,60.00,20.70,20.60
28,3,A1,-109.68,48.53,780,6.10,300.00,1353,B,Grassland,GC,"Havre, MT",150.88,1044.68,16.40,1.65,0.4,9.94,185.33 ,86.87 ,2.13 ,6.10,66.30,17.10,16.50
29,3,A1,-106.12,44.65,1114,7.20,400.00,1502,B,Grassland,GC,"Arvada, WY",125.80,1122.95,18.50,1.94,0.5,9.54,98.08 ,78.50 ,1.25 ,5.40,42.20,34.00,23.80
30,3,A1,-103.20,40.15,1402,10.80,375.00,1742,B,Grassland,GC,"Akron, CO",91.26,1152.58,16.90,1.59,0.4,10.63,82.72 ,73.07 ,1.13 ,6.70,67.50,14.90,17.70
